county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Newport County, Rhode Island,2019,3.9,7.7,27.4,20.0,23.7,2.0,15.2,49.0,13.7,15.3,29.8,7.9,92.1,36881.0,34452.0,1.0,2.6,5.5,0.4,1.2,92.1,45.2,(X),22.0,(X),51729,120476,81652,411,113647,38219,19539,8788,3.0,2.48,2.05,5.7,15.8,13.9,19.7,12.8,12.5,25.2,13847,8140,42778,2.4,6.2,61.3,8.8,6.6,9.8,3.9,0.0,1.0,2.48
Providence County, Rhode Island,2019,6.6,8.6,18.3,11.5,30.0,7.2,17.8,39.5,15.1,20.4,31.7,18.0,82.0,273254.0,257551.0,1.5,5.1,12.1,0.3,9.6,75.9,37.4,(X),25.8,(X),32399,80824,62994,2550,84887,23745,17858,10593,1.0,2.81,2.29,5.0,14.3,10.7,18.5,17.0,14.3,25.2,87207,44093,266824,3.6,3.1,42.4,15.1,11.8,18.0,5.6,0.0,0.4,2.81
Washington County, Rhode Island,2019,3.6,8.6,28.4,20.4,23.8,1.0,14.1,55.8,15.8,16.5,22.3,5.2,94.8,56331.0,53125.0,1.4,2.6,2.0,0.1,1.3,94.7,44.6,(X),27.6,(X),44899,114130,90003,N,111044,33911,22849,12608,1.1,2.52,2.38,5.9,16.6,16.4,21.6,17.1,8.9,19.4,23728,12926,64710,3.4,3.1,78.8,4.6,2.2,2.9,2.6,0.1,2.4,2.52
Aiken County, South Carolina,2019,6.7,9.8,19.4,9.9,30.9,3.2,20.2,48.5,17.3,16.9,29.6,3.8,96.2,74465.0,65150.0,1.1,1.4,26.2,0.1,0.9,72.8,41.0,(X),24.5,(X),29010,70238,55634,2616,71590,25534,20603,9589,2.2,2.56,2.2,6.0,13.6,13.4,23.7,12.6,15.1,21.5,31230,21016,78524,0.9,4.4,70.5,1.7,0.9,2.0,2.7,0.0,16.9,2.56
Anderson County, South Carolina,2019,9.7,11.7,15.7,9.0,31.7,2.9,19.2,50.3,16.4,14.5,29.1,4.0,96.0,87319.0,78685.0,0.7,1.2,17.3,0.1,1.2,81.9,40.8,(X),25.8,(X),29116,75079,54322,3080,76038,21917,19953,10105,1.5,2.62,2.72,5.6,15.4,11.8,22.5,15.7,12.3,22.3,31275,26108,89873,2.1,1.1,71.2,3.0,2.2,2.2,3.2,0.0,15.0,2.62
Beaufort County, South Carolina,2019,4.4,8.8,23.5,17.5,21.4,2.7,21.7,56.3,12.3,15.4,25.0,8.2,91.8,83880.0,79041.0,0.8,1.8,19.1,0.1,4.0,76.8,45.5,(X),21.8,(X),43759,109158,74127,N,87892,43569,23875,12872,2.5,2.48,2.87,5.8,5.3,9.9,26.1,18.4,13.4,27.0,30360,25701,102702,2.8,5.2,60.7,0.7,10.4,3.2,6.4,0.3,10.4,2.48
Berkeley County, South Carolina,2019,6.6,10.5,17.2,10.3,29.9,3.1,22.4,53.2,18.0,16.5,24.9,6.3,93.7,93220.0,90267.0,1.2,3.5,25.6,0.1,3.4,69.9,36.1,(X),29.5,(X),32587,88180,69398,1689,83705,28778,20258,11109,0.7,2.78,2.78,5.9,8.7,11.0,17.1,16.9,11.6,34.7,39071,17893,88370,4.9,3.2,62.7,0.7,5.7,1.3,4.2,0.4,17.0,2.78
Charleston County, South Carolina,2019,5.4,8.4,28.4,17.8,20.4,2.6,17.0,43.9,15.5,19.3,30.9,6.7,93.3,178744.0,164098.0,0.8,2.2,27.8,0.1,1.3,70.0,37.8,(X),24.8,(X),43935,104326,71531,1208,102631,34042,21746,8880,2.1,2.48,2.29,5.5,9.6,7.8,15.2,13.7,16.0,37.5,67776,37676,195148,7.2,5.9,60.0,2.2,7.5,3.6,8.3,0.1,5.2,2.48
Darlington County, South Carolina,2019,11.6,9.2,12.8,7.0,36.7,5.1,17.7,45.7,9.9,16.5,32.2,0.8,99.2,29334.0,25328.0,0.7,0.6,42.2,0.1,0.1,58.1,41.4,(X),23.4,(X),24262,62715,44606,1047,66189,21751,16392,12301,4.0,2.65,2.61,5.8,19.7,19.9,21.8,11.7,9.8,17.1,N,N,31014,N,N,N,N,N,N,N,N,N,2.65
Dorchester County, South Carolina,2019,7.6,10.9,19.4,8.8,25.3,4.0,24.1,54.3,22.0,15.3,26.4,7.6,92.4,67813.0,62410.0,1.2,2.8,26.7,0.2,2.2,70.2,37.0,(X),32.4,(X),30825,82692,68200,3541,80061,21117,18781,10342,1.3,2.81,2.74,6.0,10.8,9.3,19.9,17.2,14.9,27.8,29802,12832,62371,2.6,4.4,69.3,1.5,2.8,2.6,5.5,0.2,11.0,2.81
Florence County, South Carolina,2019,8.1,8.0,14.9,9.8,34.5,3.7,20.9,43.6,14.1,17.3,34.1,3.1,96.9,59706.0,51928.0,0.7,1.7,43.4,0.2,0.7,54.9,39.2,(X),25.4,(X),26691,67730,50082,581,72271,19740,19349,7588,2.1,2.57,2.52,5.7,16.3,9.0,22.5,15.3,14.9,21.9,17858,16608,61817,2.3,0.9,61.8,2.2,2.1,3.3,6.0,0.0,21.3,2.57
Greenville County, South Carolina,2019,7.9,10.0,23.5,13.0,22.9,3.6,19.2,49.2,18.7,17.5,27.3,9.3,90.7,220649.0,202438.0,1.0,3.0,19.0,0.4,3.6,75.7,38.2,(X),24.4,(X),35264,89338,64412,2735,88546,24434,21028,8933,1.9,2.67,2.33,6.0,11.0,9.8,19.9,15.9,13.1,30.2,88047,51284,218205,4.3,3.5,68.5,2.0,7.1,2.3,4.0,0.0,8.4,2.67
Greenwood County, South Carolina,2019,7.4,12.0,15.4,10.3,31.1,3.4,20.4,38.0,11.8,20.7,34.8,2.6,97.4,31484.0,26282.0,0.6,1.3,32.6,0.1,1.5,66.2,39.5,(X),19.5,(X),24534,60025,42148,2190,62230,23123,19598,10101,0.6,2.32,2.49,5.4,17.8,10.8,18.6,14.4,19.7,18.7,8348,9840,31586,1.3,2.7,63.5,2.9,2.1,4.1,7.6,0.1,15.6,2.32
Horry County, South Carolina,2019,7.1,10.5,15.3,9.0,32.5,3.9,21.6,48.1,10.8,16.7,26.7,6.7,93.3,158520.0,143026.0,1.0,1.7,14.1,0.1,2.2,82.6,45.9,(X),22.9,(X),29879,70581,53694,1822,63727,29777,21763,10471,3.2,2.41,2.72,5.1,6.7,7.9,20.3,18.8,15.5,30.7,56419,44879,214839,6.7,4.7,49.3,1.0,13.9,3.3,7.7,0.0,13.3,2.41
Kershaw County, South Carolina,2019,9.3,10.3,15.5,8.5,32.0,2.8,21.4,51.8,18.4,17.2,26.2,2.7,97.3,28263.0,25589.0,0.7,1.1,25.2,0.2,2.0,74.0,41.1,(X),30.9,(X),28439,70638,55198,795,71653,23653,19892,11007,2.3,2.7,2.69,6.1,15.7,11.7,23.3,20.4,11.4,17.5,11547,8421,29692,N,N,N,N,N,N,N,N,N,2.7
Lancaster County, South Carolina,2019,7.3,13.5,15.5,7.4,27.9,5.9,22.4,55.0,19.3,15.1,22.4,7.1,92.9,42430.0,37907.0,0.9,1.6,22.8,0.1,1.1,76.3,42.1,(X),32.0,(X),31192,82785,63924,N,90443,27727,21133,11558,1.0,2.73,2.64,6.1,14.7,9.5,20.1,18.2,10.9,26.6,N,N,39578,N,N,N,N,N,N,N,N,N,2.73
Laurens County, South Carolina,2019,10.2,11.1,12.9,6.8,34.2,4.5,20.3,46.0,15.1,17.1,30.0,4.9,95.1,28394.0,26514.0,0.6,0.7,26.1,0.2,2.5,72.8,40.7,(X),26.0,(X),27096,67205,47218,N,59348,15744,19701,8752,1.0,2.7,2.14,5.4,13.6,15.2,16.5,18.9,9.2,26.7,8661,9076,31739,1.6,2.5,56.2,1.6,1.8,3.9,2.6,0.4,29.5,2.7
Lexington County, South Carolina,2019,7.7,10.9,19.3,10.7,26.4,3.9,21.1,49.7,19.0,15.6,29.1,5.1,94.9,126281.0,115069.0,0.9,2.4,16.1,0.1,1.6,81.4,39.1,(X),25.7,(X),33658,83728,61631,3599,84882,26530,19906,8799,0.9,2.58,2.29,6.0,11.4,12.2,20.8,16.1,13.6,25.9,58780,28708,127995,1.8,1.8,69.3,1.2,3.0,1.6,2.8,0.1,18.4,2.58
Oconee County, South Carolina,2019,9.1,9.5,14.9,11.6,31.0,5.8,18.1,51.9,12.8,23.2,22.3,3.1,96.9,33933.0,32213.0,1.3,1.1,8.6,0.0,1.4,90.3,45.7,(X),30.5,(X),30668,74520,48204,N,70660,26550,22317,8297,2.0,2.52,2.41,5.9,12.7,12.3,23.4,15.2,12.7,23.7,10712,13473,41184,1.2,2.3,69.5,0.7,0.9,1.4,2.5,0.1,21.5,2.52
Orangeburg County, South Carolina,2019,11.2,11.8,10.8,10.1,31.8,3.1,21.1,34.2,5.9,18.1,43.3,0.3,99.7,37984.0,32253.0,1.1,1.2,62.8,0.2,0.5,36.4,40.3,(X),30.5,(X),20726,52664,37701,2706,57991,17634,16339,8441,4.1,2.61,2.56,5.5,20.6,17.5,16.4,16.4,13.7,15.4,6065,14441,42940,0.2,1.0,59.3,3.1,0.1,3.8,1.5,0.1,30.9,2.61
Pickens County, South Carolina,2019,9.2,11.3,14.9,11.8,29.5,3.5,19.8,51.4,18.8,21.7,23.6,4.4,95.6,54274.0,52845.0,0.7,2.4,7.7,0.1,1.1,89.8,36.2,(X),30.0,(X),25719,66080,52190,1592,63616,22508,21108,9265,1.8,2.57,2.34,5.7,14.6,11.9,19.6,11.9,12.1,29.8,17765,15517,55598,5.1,1.1,63.0,4.3,2.2,2.8,3.4,0.0,18.2,2.57
Richland County, South Carolina,2019,6.5,8.2,24.8,17.5,21.5,2.3,19.2,39.7,16.2,20.2,34.3,6.8,93.2,179761.0,162533.0,0.9,3.5,49.1,0.4,2.5,47.2,33.4,(X),23.2,(X),30232,76348,52293,2072,74685,28582,19180,8097,3.6,2.56,2.42,5.8,10.1,9.5,19.1,14.4,12.4,34.5,63394,27494,177357,5.9,3.4,64.7,2.4,7.9,3.6,7.9,0.0,4.3,2.56
Spartanburg County, South Carolina,2019,9.2,9.8,15.9,10.4,28.6,4.2,22.0,49.6,18.9,15.5,29.4,6.6,93.4,134897.0,123483.0,0.9,2.8,21.7,0.1,1.9,75.0,38.2,(X),23.9,(X),27969,71932,55339,6805,73202,21790,20590,10685,2.6,2.63,2.44,5.7,13.5,9.9,21.9,15.2,13.1,26.4,53022,34969,134034,1.0,1.7,75.1,2.7,3.5,2.4,2.8,0.0,10.9,2.63
Sumter County, South Carolina,2019,7.2,11.3,13.7,8.0,30.2,4.7,24.9,43.8,10.6,21.9,28.4,2.8,97.2,44910.0,40669.0,0.9,1.9,48.7,0.1,1.7,50.0,36.4,(X),23.1,(X),24747,61173,51025,2250,61572,22233,17794,8233,1.3,2.48,2.17,5.8,15.6,14.3,20.1,14.9,10.3,24.8,14735,13441,48613,1.3,2.6,64.5,2.3,2.6,2.2,1.6,0.0,22.9,2.48
York County, South Carolina,2019,4.9,10.1,22.5,12.6,23.9,2.3,23.8,48.6,19.5,17.5,28.8,6.5,93.5,117843.0,106751.0,1.3,2.6,20.2,0.1,1.9,76.0,38.7,(X),27.7,(X),36704,93013,66949,N,91947,27463,21177,10874,0.4,2.68,2.27,5.9,8.8,9.6,22.3,17.1,12.5,29.7,52995,22860,112650,3.9,7.1,68.3,0.8,6.6,2.1,3.4,0.0,8.0,2.68
Minnehaha County, South Dakota,2019,3.8,11.7,25.5,9.7,25.2,3.8,20.3,49.0,22.7,18.7,25.5,8.2,91.8,75192.0,77114.0,3.5,2.6,6.9,0.1,1.5,88.5,34.9,(X),18.7,(X),34167,81628,61968,1815,80158,22218,19225,8213,0.8,2.58,1.88,6.0,6.1,9.3,19.8,17.1,13.4,34.3,33438,16083,85648,6.4,5.1,59.4,1.9,13.4,3.4,6.2,0.0,4.3,2.58
Pennington County, South Dakota,2019,5.2,10.2,20.9,10.9,27.4,0.9,24.6,49.2,12.9,18.0,27.4,2.3,97.7,45900.0,46329.0,12.5,1.9,2.6,0.4,0.9,87.5,39.0,(X),18.9,(X),32013,77493,58085,1170,72816,25457,18873,9077,1.5,2.64,2.06,5.6,9.9,11.5,20.3,15.0,14.9,28.5,17393,12895,49796,6.6,5.9,61.9,1.6,6.3,4.2,3.0,0.0,10.6,2.64
Anderson County, Tennessee,2019,7.9,10.1,12.3,9.0,36.5,3.3,21.0,47.7,14.2,21.7,25.4,4.6,95.4,33098.0,31130.0,1.2,1.7,4.9,0.3,1.3,93.4,43.3,(X),26.0,(X),26823,65367,49044,2099,68075,23119,20131,8541,0.8,2.5,2.48,5.8,17.0,12.1,22.5,14.1,11.6,22.8,10377,11049,35157,3.4,4.3,69.1,1.7,5.2,3.4,3.0,0.0,9.9,2.5
Blount County, Tennessee,2019,7.6,6.0,14.7,8.6,36.3,4.3,22.6,55.9,19.1,13.9,25.3,3.6,96.4,57764.0,53217.0,1.0,1.3,3.6,0.2,0.4,95.8,43.7,(X),25.0,(X),30274,75208,59276,2350,73961,26741,20658,10528,2.8,2.65,2.36,5.7,16.7,11.8,21.6,15.4,12.1,22.3,20305,18343,58947,1.9,1.6,75.2,1.6,3.4,3.0,2.6,0.0,10.7,2.65
Bradley County, Tennessee,2019,10.3,7.1,16.3,6.3,33.6,5.2,21.3,50.3,17.8,17.5,26.5,5.0,95.0,46576.0,43009.0,0.9,1.4,6.0,0.2,1.9,91.6,39.5,(X),22.0,(X),25683,66632,52468,1919,68835,19833,18474,8535,1.0,2.77,2.34,5.6,12.6,9.3,20.5,11.5,14.7,31.5,15386,10493,44530,1.5,4.5,69.3,3.5,3.0,3.3,3.7,0.0,11.3,2.77
Davidson County, Tennessee,2019,6.4,6.3,28.3,17.3,19.8,4.1,17.8,36.4,13.4,22.5,34.7,13.6,86.4,299018.0,272276.0,0.8,4.4,28.5,0.2,2.6,66.3,34.3,(X),25.0,(X),39905,92592,63938,2230,91688,24986,20881,10144,1.7,2.46,2.17,5.1,8.1,8.2,15.7,14.6,14.5,38.9,107038,48464,325455,10.2,8.8,50.0,4.1,17.8,3.0,5.0,0.0,1.2,2.46
Greene County, Tennessee,2019,9.6,6.3,11.2,7.8,41.6,6.0,17.4,46.6,13.6,20.0,28.6,2.0,98.0,29387.0,28753.0,0.7,0.6,3.0,0.1,1.2,96.1,44.7,(X),25.0,(X),25574,60317,44722,3148,62983,19884,19282,8759,0.9,2.35,2.39,5.3,19.2,10.8,23.3,13.9,10.1,22.6,N,N,32776,1.1,1.3,65.7,2.4,1.4,2.9,2.1,0.0,23.1,2.35
Hamilton County, Tennessee,2019,6.9,9.0,22.4,12.7,24.1,3.8,21.1,44.2,15.4,19.6,29.5,5.8,94.2,159499.0,144895.0,0.8,2.5,20.3,0.1,1.3,77.2,39.7,(X),22.2,(X),34006,82222,57502,3704,82510,23373,20400,9988,1.3,2.53,2.2,5.5,11.1,10.0,18.1,15.1,12.6,33.1,54760,38180,165520,5.2,4.5,65.4,5.9,8.2,2.3,4.3,0.2,4.0,2.53
Knox County, Tennessee,2019,5.4,8.8,22.4,15.2,25.5,2.9,19.7,46.3,17.2,19.1,28.7,5.2,94.8,203508.0,185221.0,0.9,2.8,9.9,0.2,1.2,87.5,37.4,(X),22.5,(X),34475,83334,60283,3648,85326,23859,19715,10461,1.4,2.52,2.17,5.7,9.6,10.0,18.8,15.5,11.7,34.3,78646,43135,210101,7.1,5.1,65.6,2.0,6.8,3.2,5.8,0.0,4.3,2.52
Madison County, Tennessee,2019,7.2,7.1,16.8,10.3,34.0,3.1,21.4,43.7,13.8,20.5,32.6,3.2,96.8,42779.0,35793.0,0.6,1.5,38.6,0.0,1.8,59.7,38.7,(X),18.8,(X),25203,61377,49820,N,64729,18870,19043,10229,2.3,2.38,2.49,6.0,11.0,15.3,20.0,16.6,10.5,26.6,14937,9841,43495,0.9,1.5,75.8,4.5,1.5,3.5,5.7,0.1,6.5,2.38
Maury County, Tennessee,2019,7.6,10.4,18.1,7.0,34.0,3.3,19.6,54.1,18.6,12.4,26.2,3.4,96.6,39564.0,38154.0,0.9,1.2,13.1,0.1,1.1,86.4,39.1,(X),29.8,(X),31107,80635,66781,N,79444,22480,19890,7516,0.5,2.57,2.55,5.7,8.4,10.2,24.5,13.7,14.7,28.6,17249,11154,39263,3.9,1.8,76.5,1.9,1.3,2.5,3.2,0.5,8.4,2.57
Montgomery County, Tennessee,2019,4.4,13.1,19.1,11.7,27.3,1.9,22.5,51.4,24.2,16.7,24.6,6.0,94.0,81608.0,79096.0,1.6,3.7,22.8,0.9,2.0,74.5,30.8,(X),26.9,(X),27290,71883,56948,2866,66746,25854,18349,10526,2.6,2.85,2.41,5.6,8.0,8.9,13.6,14.6,11.0,43.8,32403,12803,84147,2.6,2.2,70.4,3.4,2.8,7.0,7.5,0.0,4.1,2.85
Putnam County, Tennessee,2019,6.3,5.9,18.9,9.5,32.6,6.6,20.3,45.9,17.3,20.5,25.9,4.7,95.3,33787.0,32671.0,0.8,1.7,3.1,0.1,1.2,95.2,36.4,(X),22.9,(X),25487,63818,49282,N,63983,26344,19736,11589,2.6,2.49,2.32,5.8,11.6,10.0,13.2,11.5,12.3,41.5,10781,9590,35347,4.0,0.9,71.9,2.9,1.6,4.6,8.0,0.0,6.0,2.49
Robertson County, Tennessee,2019,9.6,5.6,16.2,5.0,36.0,5.6,22.0,63.1,22.3,12.1,20.2,4.2,95.8,29505.0,28298.0,1.3,0.8,8.3,0.1,2.4,89.4,39.0,(X),34.5,(X),30898,83276,66939,N,83430,20270,21445,11689,0.0,2.62,2.8,6.1,12.0,9.5,23.0,16.5,15.9,23.1,N,N,28023,1.6,2.0,80.0,1.6,0.8,2.0,2.5,0.0,9.4,2.62
Rutherford County, Tennessee,2019,4.9,8.8,20.5,10.3,27.3,2.7,25.5,51.3,22.0,17.1,22.9,9.4,90.6,135360.0,129000.0,0.9,4.1,16.8,0.1,1.8,79.7,33.5,(X),29.7,(X),30672,85374,69397,4071,83987,21648,20549,10932,0.4,2.96,2.73,5.7,5.9,8.6,19.2,17.1,13.4,35.8,51134,21379,125467,5.8,6.3,66.7,1.1,5.8,4.2,6.3,0.0,3.7,2.96
Sevier County, Tennessee,2019,10.2,6.9,13.8,5.2,38.0,5.2,20.8,55.9,18.0,13.6,24.7,5.4,94.6,42599.0,38846.0,1.1,1.4,1.7,0.1,1.2,96.7,42.9,(X),25.9,(X),28419,71579,57741,1779,69476,22867,19235,8863,1.2,2.51,2.67,5.0,11.5,15.8,20.5,16.1,9.7,26.3,14186,12966,58730,1.6,0.9,72.9,2.5,8.2,1.7,1.6,0.5,10.2,2.51
Shelby County, Tennessee,2019,7.9,6.0,18.9,12.8,28.1,3.8,22.6,37.7,13.4,19.8,36.7,6.3,93.7,395549.0,346245.0,0.6,3.1,54.6,0.1,2.9,40.5,35.6,(X),23.1,(X),31515,80016,52614,1563,81260,26234,18627,9711,1.2,2.74,2.44,5.7,10.2,11.5,18.1,14.3,13.0,33.0,125442,66370,407303,6.0,4.9,66.7,1.4,7.0,5.0,7.9,0.1,1.0,2.74
Sullivan County, Tennessee,2019,7.3,7.9,16.3,10.1,33.3,4.1,21.0,48.7,15.7,17.8,26.8,2.0,98.0,69602.0,64127.0,0.9,1.0,3.1,0.1,0.8,96.5,45.1,(X),21.3,(X),30374,69377,51860,2030,66803,26687,21824,9775,1.1,2.33,2.1,5.7,18.2,11.6,21.3,12.7,10.8,25.4,26771,23471,75923,2.4,2.9,71.6,2.8,2.7,2.4,4.9,0.3,10.0,2.33
Sumner County, Tennessee,2019,6.1,8.2,20.8,9.8,30.7,4.1,20.3,57.4,23.6,13.7,22.7,5.8,94.2,79884.0,74306.0,0.8,1.9,8.5,0.2,1.7,89.2,39.8,(X),31.2,(X),35474,94687,68743,1924,93665,21278,21181,9783,1.1,2.83,2.34,6.2,7.7,12.4,20.0,15.3,15.0,29.6,34347,17400,75380,3.6,3.2,71.9,1.4,6.5,1.9,2.4,0.0,9.1,2.83
Washington County, Tennessee,2019,7.5,8.6,18.0,13.8,30.8,3.1,18.2,46.1,12.2,18.6,29.0,3.4,96.6,55957.0,53343.0,0.8,2.0,5.5,0.1,0.7,93.2,40.2,(X),20.0,(X),31913,73919,51428,3434,72271,19604,19313,9315,1.9,2.35,1.99,5.4,10.7,10.1,20.9,13.8,11.4,33.1,21664,15171,61186,4.7,3.2,62.7,2.0,4.9,5.9,8.0,0.0,8.6,2.35
Williamson County, Tennessee,2019,3.3,5.8,38.9,22.9,13.5,1.3,14.4,72.6,33.2,7.6,16.7,8.9,91.1,96893.0,90246.0,0.6,5.2,4.9,0.1,0.6,91.0,39.1,(X),28.4,(X),55395,155149,115507,N,150443,27462,23765,8218,0.2,2.95,2.19,7.7,7.9,7.4,21.3,19.3,15.8,28.3,48065,21577,87536,4.4,4.9,79.0,0.8,4.5,1.4,2.8,0.0,2.3,2.95
Wilson County, Tennessee,2019,4.3,7.9,22.8,12.2,29.6,2.7,20.4,62.3,24.1,12.4,20.8,5.6,94.4,59754.0,56024.0,1.0,2.2,7.9,0.1,1.6,89.3,40.4,(X),33.0,(X),36907,99956,80071,3111,99432,21922,21189,9562,0.6,2.83,2.58,6.4,9.5,10.8,18.3,17.9,14.6,28.9,26351,12070,56429,2.8,3.3,72.1,3.8,4.6,2.0,3.3,0.0,8.0,2.83
Angelina County, Texas,2019,7.1,6.1,10.5,8.0,32.5,6.7,28.9,51.2,21.8,12.8,30.4,7.4,92.6,35697.0,33185.0,1.4,1.2,15.7,0.0,2.4,81.3,37.5,(X),25.9,(X),23991,63188,53320,1795,61881,19285,20031,8532,0.0,2.7,2.39,5.1,14.2,11.8,21.1,14.1,12.4,26.4,9975,12400,37257,2.7,0.4,65.9,2.2,4.8,2.6,2.2,1.1,18.1,2.7
Bastrop County, Texas,2019,8.5,4.8,10.6,5.8,35.3,9.5,25.4,51.2,21.6,10.3,30.4,14.2,85.8,35812.0,34389.0,1.4,1.1,8.4,0.1,21.5,70.2,38.4,(X),34.7,(X),27097,78946,57938,1282,71324,37652,19125,8746,0.8,3.26,3.33,5.3,6.8,13.8,21.2,17.7,18.9,21.5,10114,9792,31085,N,N,N,N,N,N,N,N,N,3.26
Bell County, Texas,2019,6.6,11.6,15.4,9.9,25.7,2.9,27.9,46.5,19.6,18.4,29.3,8.3,91.7,140322.0,138080.0,1.7,4.6,27.2,1.3,3.4,67.8,31.0,(X),22.2,(X),27604,73912,54560,1600,69790,27171,16925,8587,2.5,3.01,2.48,5.2,5.8,7.8,16.4,15.5,12.3,42.3,44503,23771,144248,4.6,6.1,62.2,5.6,5.5,5.5,4.6,0.2,5.7,3.01
Bexar County, Texas,2019,7.9,8.3,17.8,10.3,25.6,7.4,22.6,42.9,18.0,19.2,31.6,13.0,87.0,806767.0,774378.0,1.5,3.9,8.9,0.3,6.8,82.3,33.6,(X),26.3,(X),28338,79424,58964,2078,76975,29247,17243,9179,1.7,3.26,2.77,5.3,10.2,9.1,18.1,14.9,12.2,35.5,228873,147635,705080,7.5,1.7,65.1,1.8,10.0,4.6,6.3,0.1,2.9,3.26
Bowie County, Texas,2019,8.6,6.7,12.1,7.0,33.2,4.9,27.5,47.4,17.4,17.0,34.2,3.3,96.7,37301.0,37540.0,1.4,1.5,26.2,0.2,1.9,71.8,38.0,(X),20.1,(X),27570,72703,51802,N,75976,32111,16724,8293,2.6,2.47,2.53,5.4,14.6,9.6,19.1,13.4,14.2,29.2,9977,11629,40203,1.8,1.0,65.1,5.3,4.0,5.8,3.9,0.0,13.0,2.47
Brazoria County, Texas,2019,6.5,7.6,20.0,9.4,27.3,4.9,24.3,55.5,25.8,16.8,21.9,12.2,87.8,146076.0,146765.0,1.3,7.3,14.8,0.1,4.5,74.3,35.8,(X),32.9,(X),37163,105432,84904,1791,108983,28924,20402,11745,1.3,2.96,2.32,5.8,9.3,11.6,20.8,15.1,15.4,27.8,59513,38461,142622,8.6,1.1,72.5,0.3,4.6,0.6,2.4,0.4,9.5,2.96
Brazos County, Texas,2019,6.7,4.7,23.8,18.6,21.9,4.9,19.4,39.8,18.7,24.6,31.3,12.6,87.4,94098.0,94824.0,1.6,7.0,11.7,0.2,3.3,79.5,26.5,(X),18.1,(X),28906,76849,55121,2200,72287,29814,20611,11319,0.4,2.87,2.47,5.2,3.8,5.9,14.9,12.9,12.8,49.7,22553,15993,94330,8.6,4.7,51.2,4.3,10.4,7.4,7.3,0.1,5.9,2.87
Cameron County, Texas,2019,13.5,7.4,11.8,5.4,26.2,18.2,17.6,49.3,23.1,13.5,33.0,23.1,76.9,165541.0,153324.0,0.4,0.8,0.7,0.1,3.9,95.0,31.7,(X),19.0,(X),18431,57625,41123,3039,59216,23760,14905,8974,0.9,3.29,3.18,4.9,14.1,11.8,23.1,14.9,11.5,24.6,34252,49819,154022,3.2,2.7,65.7,3.1,5.9,4.5,4.1,0.1,10.7,3.29
Collin County, Texas,2019,2.6,7.5,32.5,20.1,16.2,3.3,17.9,59.7,29.9,12.9,23.1,22.0,78.0,418677.0,399356.0,1.2,16.4,10.9,0.2,2.9,71.7,36.9,(X),28.6,(X),44236,122503,96134,2867,122736,29286,22577,9459,1.2,3.04,2.48,6.4,3.6,8.0,20.6,15.3,14.5,38.0,160287,67460,390255,7.4,2.5,67.4,0.7,13.6,1.8,5.0,0.1,1.4,3.04
Comal County, Texas,2019,4.1,9.5,25.9,13.9,23.5,2.5,20.6,62.3,22.0,15.0,17.4,5.5,94.5,65204.0,62190.0,1.1,1.7,2.7,0.1,3.8,93.1,42.2,(X),34.4,(X),41884,114102,89315,4626,104326,45634,23244,11799,1.1,2.84,2.34,6.1,7.3,10.1,18.9,16.8,15.9,30.9,26170,17614,63392,2.0,1.2,73.2,0.7,9.3,1.9,3.3,0.1,8.3,2.84
Coryell County, Texas,2019,8.7,11.0,11.4,5.6,29.1,3.3,30.9,50.7,22.7,19.0,25.6,7.3,92.7,30534.0,30613.0,5.6,3.4,17.3,1.2,1.4,80.7,31.8,(X),22.2,(X),23273,68947,53504,N,62988,31552,15360,8300,0.9,2.89,2.56,5.3,11.9,8.0,13.9,15.4,15.6,35.1,N,N,27085,4.4,10.8,61.5,8.2,2.2,4.2,3.3,0.0,5.4,2.89
Dallas County, Texas,2019,8.8,5.6,20.2,12.2,23.6,10.4,19.1,42.8,19.2,21.1,30.1,25.6,74.4,1055909.0,1009061.0,1.1,7.0,23.8,0.2,7.4,63.4,33.4,(X),28.0,(X),33928,91752,61796,2559,91820,24869,18483,9770,1.8,2.99,2.55,5.0,8.5,9.3,18.1,14.7,12.7,36.6,273543,196272,1041816,10.7,3.3,52.2,1.2,19.1,4.2,7.6,0.0,1.6,2.99
